# 생성물 — 손으로 편집하지 않는다. 원본: glossary/announcements.json / 생성: scripts/build-lean.js
# 확정 문장 TM. 있으면 그대로 쓰고 가변부(날짜·서수·수치·상품명·연도)만 교체한다.
# notes(확정 사유)·status·근거는 원본 JSON 에 있다. 문서 단위 섹션 순서는 references/skeletons.md.
doc_type	category	source	target
common	section_header	제작 가능 아이템	Craftable Items
common	section_header	콜라보레이션	Collaboration
common	section_header	특수 제작 탭 운영 종료일	Special Crafting Closing Date (UTC)
common	legal_notice	소개된 모든 상품은 제작소, 나만의 상점 등 게임 내 플랫폼 및/또는 이벤트/프로모션을 통해 추후 재등장할 수 있습니다.	All featured items may become available again at a later date via the Workshop, Your Shop, or other in-game features, as well as various events and promotions.
common	legal_notice	판매 기간은 상황에 따라 변경될 수 있습니다.	The sales periods shown below are subject to change.
common	period_phrase	라이브 서버 점검 완료 후	after live server maintenance
common	boilerplate	안녕하세요, 플레이어 여러분!	Hello, players!
common	boilerplate	PUBG: 배틀그라운드 팀	PUBG: BATTLEGROUNDS Team
store_update	section_header	신규 아이템과 스킨	New Items and Skins
store_update	section_header	은신처: 무기 스킨	Hideout: Weapon Skins
store_update	section_header	판매 기간(UTC)	Sales Period (UTC)
store_update	section_header	판매 종료 대상 아이템	Items Affected
store_update	section_header	판매 종료 아이템과 스킨	Items and Skins End Date Reminder
store_update	section_header	판매 종료일	Sales End Date
store_update	legal_notice	기록보관소 상자에서 획득 가능한 아이템의 획득 확률은 제작소 - 일반 제작 - 기록보관소 상자 - 확률 보기 페이지에서 확인하실 수 있습니다.	The probabilities for items obtainable from the Archivist's Chest can be found on the Workshop - Regular Crafting - Archivist's Chest - View Probabilities page.
store_update	legal_notice	밀수품 상자에서 획득 가능한 아이템의 획득 확률은 은신처 - 밀수품 - 세부 정보 - 확률 보기 페이지에서 확인하실 수 있습니다.	The probabilities for items obtainable from Contraband Crates can be found on the Hideout - Contraband - More Details - View Probabilities page.
store_update	legal_notice	서바이버 패스 등 확률형 아이템은 법률적 이슈로 인하여 BE, NL(벨기에, 네덜란드) 지역에는 판매 불가	Probability-based items such as the Survivor Pass are not available for sale in BE and NL (Belgium and the Netherlands) due to legal issues.
store_update	product_label	밀수품 상자 (10회)	Contraband Crate (Open 10)
store_update	product_label	최초 구매 시 50% 할인이 적용됩니다.	offers a 50% discount for the first purchase.
store_update	period_phrase	이후 안내 시까지	until further notice
store_update	boilerplate	2026 PUBG: 배틀그라운드 이스포츠 글로벌 파트너 팀의 특별한 아이템을 확인해 보세요!	Check out the special items from the 2026 PUBG: BATTLEGROUNDS Esports Global Partner Teams!
store_update	boilerplate	이용에 참고 부탁드립니다. 감사합니다.	Thank you for your understanding.
store_update	boilerplate	즐거운 쇼핑 되시길 바랍니다.	Happy shopping!
special_drops	section_header	1명 초대 시	Invite 1 Friend
special_drops	section_header	1주차	Week 1
special_drops	section_header	2주차/3주차/4주차	Weeks 2/3/4
special_drops	section_header	9월 Check-in	September Check-in
special_drops	section_header	미션	Mission
special_drops	section_header	보너스 체크인	Bonus Check-in
special_drops	section_header	빙고 완성 보상	Bingo Completion Rewards
special_drops	section_header	업데이트 내역	Update History
special_drops	section_header	이벤트 기간 (UTC)	Event Schedule (UTC)
special_drops	section_header	이벤트 안내	Event Details
special_drops	section_header	주차 별 획득 가능한 보상	Obtainable Rewards by Week
special_drops	section_header	총 획득 가능한 보상	Total Obtainable Rewards
special_drops	section_header	추천 코드 입력 이벤트	Invitation Code Event
special_drops	section_header	획득 가능한 보상	Obtainable Rewards
special_drops	legal_notice	(단, 6종의 아이템 중 1종만 선택 가능합니다.)	(However, only 1 of the 6 items can be selected.)
